0	Fields group	Management of the resource											Metadata of the text (description of item)																																														Identifier(s) of related resources			Link(s) to repository of visual documentation			0
0													Text identity						Related entities			Text typology				Language(s) and script(s)												Physical form							Date of the text					Filiation							Rights								0
0	Fields	Identifier of the resource	Origin of the metadata	DHARMA import	Editor of the metadata	Date of the edition	Contributor of the metadata	Reviewer	Date of review	Project	Corpus	Distribution rights of the metadata	Identifier of the text	Designation	Alternative identifier	Alternative designation	Alternative designation	Location on the artefact/conglomerate artefact/monument	ID of the artefact(s)	ID of the conglomerate artefact	ID of the monument	Text type 1	Text type 2	Text type 3	Text type 4	Language 1	Script classification 1	Script maturity 1	Language 2	Script classification 2	Script maturity 2	Language 3	Script classification 3	Script maturity 3	Language 4	Script classification 4	Script maturity 4	Lettering technique	Lines (observed)	Lines (estimated)	Lines per zone(s)	Dimensions of text zone(s)	Height of glyph	Width of glyph	Date CE	Date range CE	Date certainty	Date precision	Date evidence	Other instances	Type of filiation	Reissue date	Bibliographic references (primary)	Bibliographic references (secondary)	Keyword(s)	Remarks	Project responsible for publication	Distribution rights of the text edition	Identifier of the surrogate	Identifier of the digital image	Identifier of the 3D model	Link to external repository of surrogates	Link to external repository of digital images of inscriptions	Link to external repository of 3D models	0
10		INSVengiCalukya00010	SubbaRao1929-1930_01		daba	2023-12-15				DHARMA	VengiCalukya	CC0	INSVengiCalukya00010	Puloṁbūra grant of Jayasiṁha I		Pulibumra Plates of Jayasiṁha I$Pulimburu Plates of Jayasiṁha I$Polamuru Grant of Jayasiṁha I$Polamuru Plates (set II)				CONARTVengiCalukya000010		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	24			4.8×14	0.4			646-656			internal_date				Rangacharya1927-1928_03$ SubbaRao1929-1930_01$ Sircar1939_01$ Sankaranarayanan1977_01			Line spacing 0.7 cm.	DHARMA	CC-BY-SA							10
11		INSVengiCalukya00011	Fleet1878_01		daba	2024-01-12				DHARMA	VengiCalukya	CC0	INSVengiCalukya00011	Paḷḷivāḍa grant of Viṣṇuvardhana II				Plates (A), Seal (B)		CONARTVengiCalukya000011		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	22	32	A:22$B:1	5.4×16	0.45			676-678			internal_date				Fleet1878_01			Line spacing 0.9 cm.	DHARMA	CC-BY-SA							11
12		INSVengiCalukya00012	Fleet1878_02		daba	2024-01-12				DHARMA	VengiCalukya	CC0	INSVengiCalukya00012	Reyūru grant of Viṣṇuvardhana II				Plates (A), Seal (B)		CONARTVengiCalukya000012		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	68		A:68$B:1	5.3×19.5	0.4			673-675			internal_date				Fleet1878_02			Line spacing 0.8 cm.	DHARMA	CC-BY-SA							12
13		INSVengiCalukya00013	Narasimhaswami1955-1956_01		daba	2024-01-17				DHARMA	VengiCalukya	CC0	INSVengiCalukya00013	Koṇeki grant of Viṣṇuvardhana II				Plates (A), Seal (B)		CONARTVengiCalukya000013		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	46		A:46$B:1	4.9×20.5	0.5			669-671			internal_date				Narasimhaswami1955-1956_01			Line spacing 0.9 cm.	DHARMA	CC-BY-SA							13
14		INSVengiCalukya00014	Fleet1891_03		daba	2024-01-17				DHARMA	VengiCalukya	CC0	INSVengiCalukya00014	Nutulapaṟu grant of Maṅgi Yuvarāja				Plates (A), Seal (B)		CONARTVengiCalukya000014		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	28		A:28$B:1					700-702			internal_date				Fleet1891_03				DHARMA	CC-BY-SA							14
15		INSVengiCalukya00015	Hultzsch1925-1926_05		daba	2024-02-21				DHARMA	VengiCalukya	CC0	INSVengiCalukya00015	Peṇukapaṟu grant of Jayasiṁha II				Plates (A), Seal (B)		CONARTVengiCalukya000015		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	31		A:31$B:1	6.1×17.9	0.4			706-718			reign				Hultzsch1925-1926_05$ Krishnamacharlu1924_01			Line spacing 0.7 cm.	DHARMA	CC-BY-SA							15
16		INSVengiCalukya00016	daba autopsy and Hultzsch1925-1926_03		daba	2024-02-21				DHARMA	VengiCalukya	CC0	INSVengiCalukya00016	Jaḷayūru grant of Viṣṇuvardhana III		Ipur Plates of Viṣṇuvardhana III		Plates (A), Seal (B)		CONARTVengiCalukya000016		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	25		A:25$B:1	5.6×16.3	0.5			740-742			internal_date				Hultzsch1925-1926_03			Line spacing 0.7 cm.	DHARMA	CC-BY-SA							16
17		INSVengiCalukya00017	Gai1965-1966_01		daba	2024-02-29				DHARMA	VengiCalukya	CC0	INSVengiCalukya00017	Tenali plates of Vijayāditya I				Plates (A), Seal (B)		CONARTVengiCalukya000017		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	28		A:28$B:1	6.6×17.2	0.5			755-772			reign				Gai1965-1966_01 (item A)			Line spacing 0.9 cm.	DHARMA	CC-BY-SA							17
18		INSVengiCalukya00018	Gai1965-1966_01		daba	2024-02-29				DHARMA	VengiCalukya	CC0	INSVengiCalukya00018	Zulakallu plates of Vijayāditya I		Alluvālu grant of Vijayāditya I				CONARTVengiCalukya000018		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script	Telugu	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script							engraved	26			6.5×19.5	0.45			755-772			reign				Gai1965-1966_01 (item B)$ Venkataramanayya1974_01			Line spacing 0.9 cm.	DHARMA	CC-BY-SA							18
19		INSVengiCalukya00019	Fleet1884_02		daba	2024-03-12				DHARMA	VengiCalukya	CC0	INSVengiCalukya00019	Pr̥thivipallavapaṭṭana grant of Viṣṇuvardhana IV		Ahadanakaram plates of Viṣṇuvardhana V				CONARTVengiCalukya000019		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script	Telugu	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script							engraved	34			7×21.6	0.55			772-808			reign				Fleet1884_02			Line spacing 1.1 cm.	DHARMA	CC-BY-SA							19
