0	Fields group	Management of the resource											Metadata of the text (description of item)																																														Identifier(s) of related resources			Link(s) to repository of visual documentation			0
0													Text identity						Related entities			Text typology				Language(s) and script(s)												Physical form							Date of the text					Filiation							Rights								0
0	Fields	Identifier of the resource	Origin of the metadata	DHARMA import	Editor of the metadata	Date of the edition	Contributor of the metadata	Reviewer	Date of review	Project	Corpus	Distribution rights of the metadata	Identifier of the text	Designation	Alternative identifier	Alternative designation	Alternative designation	Location on the artefact/conglomerate artefact/monument	ID of the artefact(s)	ID of the conglomerate artefact	ID of the monument	Text type 1	Text type 2	Text type 3	Text type 4	Language 1	Script classification 1	Script maturity 1	Language 2	Script classification 2	Script maturity 2	Language 3	Script classification 3	Script maturity 3	Language 4	Script classification 4	Script maturity 4	Lettering technique	Lines (observed)	Lines (estimated)	Lines per zone(s)	Dimensions of text zone(s)	Height of glyph	Width of glyph	Date CE	Date range CE	Date certainty	Date precision	Date evidence	Other instances	Type of filiation	Reissue date	Bibliographic references (primary)	Bibliographic references (secondary)	Keyword(s)	Remarks	Project responsible for publication	Distribution rights of the text edition	Identifier of the surrogate	Identifier of the digital image	Identifier of the 3D model	Link to external repository of surrogates	Link to external repository of digital images of inscriptions	Link to external repository of 3D models	0
30		INSVengiCalukya00030	LakshmanaRao1927-1928_02		daba	2025-04-09				DHARMA	VengiCalukya	CC0	INSVengiCalukya00030	Āruṁbāka grant of Bādapa				Plates (A), Seal (B)		CONARTVengiCalukya000030		donative-secular_donation				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	68		A:68$B:2	10×24.1	0.45			944-946	low		reign				LakshmanaRao1927-1928_02 (item 1)$said to be also published in "Andhra Patrika Ugādi Sanchika", April 1921, by K. V. Lakshmana Rao - probably a preliminary to the proper publication			Line spacing 0.9 cm.	DHARMA	CC-BY-SA							30
31		INSVengiCalukya00031	LakshmanaRao1927-1928_02		daba	2025-04-09				DHARMA	VengiCalukya	CC0	INSVengiCalukya00031	Śrīpūṇḍi grant of Tāḻa II				Plates (A), Seal (B)		CONARTVengiCalukya000031		donative-secular_donation				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	40		A:40$B:1	8.8×22	0.6			944-946	low		reign				LakshmanaRao1927-1928_02 (item 2)			Line spacing 1.7 cm.	DHARMA	CC-BY-SA							31
32		INSVengiCalukya00032	Fleet1884_03		daba	2024-07-04				DHARMA	VengiCalukya	CC0	INSVengiCalukya00032	Diggubaṟṟu grant of Bhīma II		Pāganavaram plates of Bhīma II		Plates (A), Seal (B)		CONARTVengiCalukya000032		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	64		A:64$B:1	10.4×19.5	0.6			934-945			reign				Fleet1884_03			Line spacing 1.2 cm.	DHARMA	CC-BY-SA							32
33		INSVengiCalukya00033	Hultzsch1890_01		daba	2024-07-05				DHARMA	VengiCalukya	CC0	INSVengiCalukya00033	Kolaveṇṇu plates of Bhīma II		Koḍhatalli grant of Bhīma II		Plates (A), Seal (B)		CONARTVengiCalukya000033		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	31		A:31$B:1					934-945			reign				Hultzsch1890_01 (item 37)				DHARMA	CC-BY-SA							33
34		INSVengiCalukya00034	Kielhorn1898-1899_01		daba	2024-07-05				DHARMA	VengiCalukya	CC0	INSVengiCalukya00034	Ākulamannaṇḍu grant of Bhīma II		Masulipatam plates of Bhīma II		Plates (A), Seal (B)		CONARTVengiCalukya000034		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	35		A:35$B:1	9×18.9	0.5			934-945			reign				Kielhorn1898-1899_01 (item E)			Line spacing 1.1 cm.	DHARMA	CC-BY-SA							34
35		INSVengiCalukya00035	Fleet1883_08		daba	2025-04-10				DHARMA	VengiCalukya	CC0	INSVengiCalukya00035	Elavaṟṟu grant of Amma II				Plates (A), Seal (B)		CONARTVengiCalukya000035		donative-secular_donation				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	60		A:60$B:1	7×17.8	0.45			945-970			reign				Fleet1883_08			Line spacing 0.9 cm.	DHARMA	CC-BY-SA							35
36		INSVengiCalukya00036	Fleet1884_04		daba	2025-04-11				DHARMA	VengiCalukya	CC0	INSVengiCalukya00036	Guṇḍugolanu grant of Amma II				Plates (A), Seal (B)		CONARTVengiCalukya000036		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	37		A:37$B:1	9.2×20.2	0.5			945-970			reign				Fleet1884_04			Line spacing 1 cm.	DHARMA	CC-BY-SA							36
37		INSVengiCalukya00037	Fleet1902-1903_01		daba	2025-04-11				DHARMA	VengiCalukya	CC0	INSVengiCalukya00037	Kalucuṁbaṟṟu grant of Amma II				Plates (A), Seal (B)		CONARTVengiCalukya000037		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script	Telugu	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script							engraved	73		A:73$B:2	10.2×20.3	0.4			945-970			reign				Fleet1902-1903_01			Line spacing 1 cm.	DHARMA	CC-BY-SA							37
38		INSVengiCalukya00038	Hultzsch1907-1908_02		daba	2025-05-16				DHARMA	VengiCalukya	CC0	INSVengiCalukya00038	Maliyapūṇḍi grant of Amma II				Plates (A), Seal (B)		CONARTVengiCalukya000038		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	60		A:60$B:1	10.4×23	0.5			945-970			reign				Butterworth+VenugopaulChetty1905_01 (item 19)$ Hultzsch1907-1908_02			Line spacing 0.9 cm.	DHARMA	CC-BY-SA							38
39		INSVengiCalukya00039	Rangacharya1955-1956_01 and daba autopsy		daba	2025-08-19				DHARMA	VengiCalukya	CC0	INSVengiCalukya00039	Māṁgallu grant of Dānārṇava		Māṁgallu grant of Amma II		Plates (A), Seal (B)		CONARTVengiCalukya000039		donative-secular_donation				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script	Telugu	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script							engraved	66		A:66$B:1	9.1×22.5	0.5			956-958			reign				Rangacharya1955-1956_01$ ParabrahmaSastry1969_01			Line spacing 1.2 cm.	DHARMA	CC-BY-SA							39
40		INSVengiCalukya00040	KrishnaRao1937-1938_01 and daba autopsy		daba	2025-05-16				DHARMA	VengiCalukya	CC0	INSVengiCalukya00040	Pedda-Gāḻidipaṟṟu grant of Amma II		Masulipatam Plates of Amma II		Plates (A), Seal (B)		CONARTVengiCalukya000040		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script	Telugu	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script							engraved	71		A:71$B:1	12.6×26.6	0.55			945-970			reign				KrishnaRao1937-1938_01			Line spacing 1.3 cm.	DHARMA	CC-BY-SA							40
41		INSVengiCalukya00041	SubbaRao1949-1950_01 and daba autopsy		daba	2025-06-13				DHARMA	VengiCalukya	CC0	INSVengiCalukya00041	Nāgiyapūṇḍi grant of Amma II				Plates (A), Seal (B)		CONARTVengiCalukya000041		donative-secular_donation				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	54		A:54$B:1	8.3×17.2	0.45			945-970			reign				SubbaRao1949-1950_01			Line spacing 1 cm.	DHARMA	CC-BY-SA							41
42		INSVengiCalukya00042	Hultzsch1913-1914_03 and ASI cover sheet		daba	2025-06-13				DHARMA	VengiCalukya	CC0	INSVengiCalukya00042	Nammūru grant of Amma II				Plates (A), Seal (B)		CONARTVengiCalukya000042		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script	Telugu	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script							engraved	32		A:32$B:1	10.4×23.7	0.5			945-970			reign				Hultzsch1913-1914_03			Line spacing 1.1 cm.	DHARMA	CC-BY-SA							42
43		INSVengiCalukya00043	Fleet1878_07		daba	2025-06-13				DHARMA	VengiCalukya	CC0	INSVengiCalukya00043	Paḷaṁkalūru grant of Amma II				Plates (A), Seal (B)		CONARTVengiCalukya000043		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	64		A:64$B:1	9.1×18.1	0.5			945-970			reign				Fleet1878_07			Line spacing 1 cm.	DHARMA	CC-BY-SA							43
44		INSVengiCalukya00044	Kielhorn1898-1899_01 and daba autopsy		daba	2025-07-04				DHARMA	VengiCalukya	CC0	INSVengiCalukya00044	Pāṁbaṟṟu grant of Amma II				Plates (A), Seal (B)		CONARTVengiCalukya000044		donative-secular_donation				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script	Telugu	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script							engraved	32		A:32$B:1	8.2×20.4	0.55			945-970			reign				Sewell1879_01 (item 1)$Kielhorn1898-1899_01 (item F)			Line spacing 1 cm.	DHARMA	CC-BY-SA							44
45		INSVengiCalukya00045	KrishnaRao1935-1936_01 and ASI cover sheet		daba	2025-07-07				DHARMA	VengiCalukya	CC0	INSVengiCalukya00045	Tāṇḍikoṇḍa grant of Amma II						CONARTVengiCalukya000045		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script	Telugu	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script							engraved	69	70		12.2×27	0.6			945-970			reign				KrishnaRao1935-1936_01$ Bhārati 15 1938/07 97ff			Line spacing 1.2 cm.	DHARMA	CC-BY-SA							45
46		INSVengiCalukya00046	Hultzsch1907-1908_05		daba	2025-07-22				DHARMA	VengiCalukya	CC0	INSVengiCalukya00046	Vandram plates of Amma II				Plates (A), Seal (B)		CONARTVengiCalukya000046		donative-secular_donation				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	72		A:72$B:1	8.5×18.7	0.45			945-970			reign				Hultzsch1907-1908_05			Line spacing 0.9 cm.	DHARMA	CC-BY-SA							46
47		INSVengiCalukya00047	Hultzsch1925-1926_06 and daba autopsy		daba	2025-10-01				DHARMA	VengiCalukya	CC0	INSVengiCalukya00047	Vemalūrpāḍu plates of Amma II				Plates (A), Seal (B)		CONARTVengiCalukya000047		donative-secular_donation				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script	Telugu	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script							engraved	74		A:74$B:1	10.4×21.3	0.55			945-970			reign				Hultzsch1925-1926_06			Line spacing 1.4 cm.	DHARMA	CC-BY-SA							47
48		INSVengiCalukya00048	sagu autopsy and daba estimates from available measurements		daba	2024-02-13				DHARMA	VengiCalukya	CC0	INSVengiCalukya00048	London plates of Maṅgi Yuvarāja				Plates (A), Seal (B)		CONARTVengiCalukya000048		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	24		A:24$B:1	4.5×16.5	0.45			700-702			internal_date				NA			Line spacing 0.7 cm.	DHARMA	CC-BY-SA							48
49		INSVengiCalukya00049	Venkayya1900-1901_01		daba	2025-10-19				DHARMA	VengiCalukya	CC0	INSVengiCalukya00049	Raṇastipūṇḍi grant of Vimalāditya				Plates (A), Seal (B)		CONARTVengiCalukya000049		donative-secular_donation				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script	Telugu	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script							engraved	98		A:98$B:1	12.2×25.6	0.55			1017-1019			internal_date				Venkayya1900-1901_01			Line spacing 1 cm.	DHARMA	CC-BY-SA							49
50		INSVengiCalukya00050	Hultzsch1905-1906_10		daba	2024-01-18				DHARMA	VengiCalukya	CC0	INSVengiCalukya00050	Cendalūr plates of Maṅgi Yuvarāja				Plates (A), Seal (B)		CONARTVengiCalukya000050		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	41		A:41$B:1	5.5×22	0.6			682-684			internal_date				Hultzsch1905-1906_10			Line spacing 1.2 cm.	DHARMA	CC-BY-SA							50
51		INSVengiCalukya00051	daba autopsy and LakshmanaRao1922_02		daba	2024-12-19				DHARMA	VengiCalukya	CC0	INSVengiCalukya00051	Attili grant of Bhīma I		Telugu Academy plates of Bhīma I		Plates (A), Seal (B)		CONARTVengiCalukya000051		donative-secular_donation				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	35		A:35$B:1	9.1×18.5	0.4			892-921			reign				LakshmanaRao1922_02$also ASPP vol 11, 1922?, p241ff, Annette's photos			Line spacing 1 cm.	DHARMA	CC-BY-SA							51
52		INSVengiCalukya00052	KrishnaRao1965_01 and daba autopsy		daba	2024-10-16				DHARMA	VengiCalukya	CC0	INSVengiCalukya00052	Andhra Sahitya Parishad plates of Śaktivarman				Plates (A), Seal (B)		CONARTVengiCalukya000052		donative-secular_donation				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	65	85	A:65$B:1	9.7×19.8	0.45			1000-1011			reign				KrishnaRao1965_01$ reportedly (acc. to B. V. Krishna Rao, JAHRS 12 p50) also edited to a low standard in Andhra Sahitya Parishat Patrika Vol. II pp 213-217			Line spacing 0.9 cm.	DHARMA	CC-BY-SA							52
53		INSVengiCalukya00053	Hultzsch1925-1926_07		daba	2024-01-11				DHARMA	VengiCalukya	CC0	INSVengiCalukya00053	Koṇḍaṇagūru grant of Indra Bhaṭṭāraka				Plates (A), Seal (B)		CONARTVengiCalukya000053		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	37		A:37$B:1	4.8×16	0.5			672-674			reign				Hultzsch1925-1926_07			Line spacing 0.9 cm.	DHARMA	CC-BY-SA							53
54		INSVengiCalukya00054	RamachandraMurthy1973-1974_01		daba	2024-01-18				DHARMA	VengiCalukya	CC0	INSVengiCalukya00054	Mḻopaṟṟu grant attributed to Maṅgi Yuvarāja		Ipuru plates of Maṅgi yuva-vallabha-mahārāja$Ipuru plates of Jayasiṁha I$Īpūru plates$Īpūr plates		Plates (A), Seal (B)		CONARTVengiCalukya000054		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	26		A:26$B:1	6.6×20.3	0.35			641-706	low		reign				RamachandraMurthy1973-1974_01			Line spacing 0.8 cm.	DHARMA	CC-BY-SA							54
55		INSVengiCalukya00055	Katti+PadmanabhaSastry1995_01		daba	2023-12-11				DHARMA	VengiCalukya	CC0	INSVengiCalukya00055	Cāmaṟṟu plates of Jayasiṁha I				Plates (A), Seal (B)		CONARTVengiCalukya000055		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	29		A:29$B:1	4.3×15.7	0.5			641-673			reign				Katti+PadmanabhaSastry1995_01			Line spacing 0.9 cm.	DHARMA	CC-BY-SA							55
56		INSVengiCalukya00056	daba autopsy		daba	2023-12-04				DHARMA	VengiCalukya	CC0	INSVengiCalukya00056	Peddāpurappāḍu plates (set 1) of Viṣṇuvardhana II				Plates (A), Seal (B)		CONARTVengiCalukya000056		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	28		A:28$B:1	7.1×17.2	0.5			672-674			internal_date				PadmanabhaSastry1994_01 (A)			Line spacing 1 cm.	DHARMA	CC-BY-SA							56
57		INSVengiCalukya00057	daba autopsy		daba	2023-12-04				DHARMA	VengiCalukya	CC0	INSVengiCalukya00057	Peddāpurappāḍu plates (set 2) of Viṣṇuvardhana II				Plates (A), Seal (B)		CONARTVengiCalukya000057		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script	Telugu	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script							engraved	27		A:27$B:1	5.3×20.6	0.5			673-675			internal_date				PadmanabhaSastry1994_01 (B)			Line spacing 0.8 cm.	DHARMA	CC-BY-SA							57
58		INSVengiCalukya00058	Sampath2005_01		daba	2024-02-12				DHARMA	VengiCalukya	CC0	INSVengiCalukya00058	Nekkontha grant of Viṣṇuvardhana III		Alluvālu grant of Viṣṇuvardhana III				CONARTVengiCalukya000058		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	12	28		6.1×16.3	0.5			719-755			reign				Sampath2005_01			Line spacing 0.9 cm.	DHARMA	CC-BY-SA							58
59		INSVengiCalukya00059	Ramesan1988_01 and daba autopsy		daba	2023-12-15				DHARMA	VengiCalukya	CC0	INSVengiCalukya00059	Uccāti grant of Jayasiṁha I				Plates (A), Seal (B)		CONARTVengiCalukya000059		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	20		A:20$B:1	6.8×17.1	0.6			641-673			reign				Ramesan1988_01 (A)			Line spacing 1.1 cm.	DHARMA	CC-BY-SA							59
60		INSVengiCalukya00060	Ramesan1988_01		daba	2024-02-21				DHARMA	VengiCalukya	CC0	INSVengiCalukya00060	Cendaṟa grant of Jayasiṁha II		Nandigāma plates, A		Plates (A), Seal (B)		CONARTVengiCalukya000060		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	23		A:23$B:1					707-709			internal_date				Ramesan1988_01 (B)$ PadmanabhaSastry2006_01				DHARMA	CC-BY-SA							60
61		INSVengiCalukya00061	Ramesan1988_01		daba	2024-02-21				DHARMA	VengiCalukya	CC0	INSVengiCalukya00061	Koṇḍakaḻipḻola grant of Viṣṇuvardhana III		Koṇḍakaṟipḻola grant 		Plates (A), Seal (B)		CONARTVengiCalukya000061		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script	Telugu	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script							engraved	26		A:26$B:1					722-724			internal_date				Ramesan1988_01 (C)				DHARMA	CC-BY-SA							61
62		INSVengiCalukya00062	Venkataramanayya1974_03		daba	2024-07-17				DHARMA	VengiCalukya	CC0	INSVengiCalukya00062	Ciṁbulūru grant of Vijayāditya III						CONARTVengiCalukya000062		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	47			×7.5	0.45			849-892			reign				Venkataramanayya1974_03			Line spacing 1 cm.	DHARMA	CC-BY-SA							62
63		INSVengiCalukya00063	daba autopsy and Venkataramanayya1974_06		daba	2025-03-28				DHARMA	VengiCalukya	CC0	INSVengiCalukya00063	Velaṁbaṟṟu (spurious?) grant of Amma I				Plates (A), Seal (B)		CONARTVengiCalukya000063		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script	Telugu	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script							engraved	37		A:37$B:1	9.8×22.2	0.45			921-927	low		reign				Venkataramanayya1974_06			Line spacing 1 cm.	DHARMA	CC-BY-SA							63
64		INSVengiCalukya00064	LakshminarayanRao1939-1940_01 and ASI cover sheet		daba	2025-03-31				DHARMA	VengiCalukya	CC0	INSVengiCalukya00064	Nūtimaḍugu plates of Vikramāditya II						CONARTVengiCalukya000064		donative				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	28	40		11.8×22.8	0.5			926-928			reign				LakshminarayanRao1939-1940_01 (item A)			Line spacing 1.4 cm.	DHARMA	CC-BY-SA							64
65		INSVengiCalukya00065	ASI estampage cover sheet and Venkataramanayya1974_02		daba	2024-07-09				DHARMA	VengiCalukya	CC0	INSVengiCalukya00065	Varppoṁgu grant of Vijayāditya II				Plates (A), Seal (B)		CONARTVengiCalukya000065		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	23		A:23$B:1	6.7×18.8	0.55			808-847			reign				Venkataramanayya1974_02			Line spacing 1.1 cm.	DHARMA	CC-BY-SA							65
66		INSVengiCalukya00066	SubbaRao1930-1931_01 and daba autopsy		daba	2024-03-01				DHARMA	VengiCalukya	CC0	INSVengiCalukya00066	Nemmaḷūru grant of Vijayāditya I				Plates (A), Seal (B)		CONARTVengiCalukya000066		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script	Telugu	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script							engraved	28		A:28$B:1	7.9×17.1	0.6			755-772			reign				SubbaRao1930-1931_01 (1)			Line spacing 1.1 cm.	DHARMA	CC-BY-SA							66
67		INSVengiCalukya00067	SubbaRao1930-1931_01 and daba autopsy		daba	2024-03-01				DHARMA	VengiCalukya	CC0	INSVengiCalukya00067	Dinakādu grant of Vijayāditya I				Plates (A), Seal (B)		CONARTVengiCalukya000067		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script	Telugu	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script							engraved	27		A:27$B:1	7.3×16.7	0.45			755-772			reign				SubbaRao1930-1931_01 (2)			Line spacing 1 cm.	DHARMA	CC-BY-SA							67
68		INSVengiCalukya00068	Sampath1975-1976_01		daba	2024-07-17				DHARMA	VengiCalukya	CC0	INSVengiCalukya00068	Candavolu plates of Vijayāditya III				Plates (A), Seal (B)		CONARTVengiCalukya000068		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script	Telugu	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script							engraved	24		A:24$B:1	5.3×13.5	0.45			849-892			reign				Sampath1975-1976_01			Line spacing 0.9 cm.	DHARMA	CC-BY-SA							68
69		INSVengiCalukya00069	KrishnaRao1930-1931_02		daba	2024-10-15				DHARMA	VengiCalukya	CC0	INSVengiCalukya00069	Sātalūru plates of Vijayāditya III				Plates (A), Seal (B)		CONARTVengiCalukya000069		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	88		A:88$B:1	9.6×23				849-892			reign				KrishnaRao1930-1931_02$ Bhārati 1 1924/11 91ff				DHARMA	CC-BY-SA							69
70		INSVengiCalukya00070	ARIE and museumsofindia website		daba	2025-04-09				DHARMA	VengiCalukya	CC0	INSVengiCalukya00070	Īnteṟu grant of Bādapa				Plates (A), Seal (B)		CONARTVengiCalukya000070		donative-secular_donation				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script	Telugu	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script							engraved	74		A:74$B:1	9.7×23	0.5			944-946	low		reign				NA			Line spacing 1 cm.	DHARMA	CC-BY-SA							70
71		INSVengiCalukya00071	Narasimham1937-1938_01		daba	2025-10-30				DHARMA	VengiCalukya	CC0	INSVengiCalukya00071	Kaṇḍyam plates of Dānārṇava				Plates (A), Seal (B)		CONARTVengiCalukya000071		donative-secular_donation				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script	Telugu	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script							engraved	71		A:71$B:1	10.3×23.1	0.55			969-971			internal_date				Narasimham1937-1938_01			Line spacing 1.2 cm.	DHARMA	CC-BY-SA							71
72		INSVengiCalukya00072	daba autopsy		daba	2024-02-13				DHARMA	VengiCalukya	CC0	INSVengiCalukya00072	Elūru Grant of Maṅgi Yuvarāja				Plates (A), Seal (B)		CONARTVengiCalukya000072		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script	Telugu	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script							engraved	25		A:25$B:1	6.7×17.8	0.45			690-692			internal_date				KrishnaRao1938-1939_01$KrishnaRao1938-1939_02$ Bhārati 5 1939/05 613ff (can't find)			Line spacing 0.9 cm.	DHARMA	CC-BY-SA							72
73		INSVengiCalukya00073	SubbaRao1927-1928_02 and daba autopsy		daba	2025-11-04				DHARMA	VengiCalukya	CC0	INSVengiCalukya00073	Pāmulavāka plates of Amma II						CONARTVengiCalukya000073		donative-secular_donation				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	29			7.8×17.3	0.45			945-970			reign				SubbaRao1927-1928_02			Line spacing 0.9 cm.	DHARMA	CC-BY-SA							73
74		INSVengiCalukya00074	Hultzsch1890_01		daba	2025-09-26				DHARMA	VengiCalukya	CC0	INSVengiCalukya00074	Masulipatam plates of Amma II				Plates (A), Seal (B)		CONARTVengiCalukya000074		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	35		A:35$B:1					945-970			reign				Hultzsch1890_01 (item 38)				DHARMA	CC-BY-SA							74
75		INSVengiCalukya00075	daba estimates from Elliot estampages		daba	2025-01-03				DHARMA	VengiCalukya	CC0	INSVengiCalukya00075	Pañcapāka grant of Bhīma I		Paṇḍipāka grant of Bhīma I		Plates (A), Seal (B)		CONARTVengiCalukya000075		donative-secular_donation				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script	Telugu	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script							engraved	55		A:55$B:1	8.4×18.7	0.45			892-921			reign				the "Paṇḍipāka grant" is said to be published in Journal of the Telugu Academy 11 p256-257$ supposedly described in Mad. Govt. MSS. Library Catalogue 15-6-36, pp. 185-91. Cannot trace. This is not volume 15 of “A Descriptive Catalogue Of The Sanskrit Manuscripts in the Govermnent Oriental Manuscripts Library, Madras”. The three numbers are probably Volume, Sheet and Title, whatever the catalogue is.			Line spacing 1.1 cm.	DHARMA	CC-BY-SA							75
76		INSVengiCalukya00076	daba autopsy		daba	2024-07-05				DHARMA	VengiCalukya	CC0	INSVengiCalukya00076	Single Bhimavaram plate of a late Eastern Cālukya king						CONARTVengiCalukya000076		donative				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	16	48		9.2×20.2	0.5			892-973			reign				SubbaRao1945-1946_01			Line spacing 1.1 cm.	DHARMA	CC-BY-SA							76
77		INSVengiCalukya00077	daba autopsy		daba	2024-07-05				DHARMA	VengiCalukya	CC0	INSVengiCalukya00077	Varaṇaveṇḍi grant of Bhīma II		Varaṇa Veṇḍi grant of Bhīma III		Plates (A), Seal (B)		CONARTVengiCalukya000077		donative-secular_donation				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script	Telugu	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script							engraved	66		A:66$B:1	9.6×19	0.5			934-945			reign				SubbaRao1956-1958_01			Line spacing 1 cm.	DHARMA	CC-BY-SA							77
